forecast_id,canonical_name,location,quality_status,data_density,model_used,reference_week,reference_price,forecast_week,expected_price,lower_bound,upper_bound,range_width,expected_change,expected_change_pct,outlook,outlook_label,directional_outlook,directional_outlook_label,selected_strategy,validation_accuracy,validation_call_rate,strategy_change,direction_threshold,direction_evidence,generated_at,model_version
Pelata_20260914,Pelata,Selangor,VALID,DENSE,NAIVE,2026-08-17,19.9,2026-09-14,19.9,18.91,20.889999999999997,1.9799999999999969,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Selar_Kuning_20260824,Selar Kuning,Selangor,VALID,DENSE,NAIVE,2026-08-17,13.395,2026-08-24,13.395,12.784999999999998,14.005,1.2200000000000024,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Selar_Kuning_20260831,Selar Kuning,Selangor,VALID,DENSE,NAIVE,2026-08-17,13.395,2026-08-31,13.395,12.784999999999998,14.005,1.2200000000000024,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Selar_Kuning_20260907,Selar Kuning,Selangor,VALID,DENSE,NAIVE,2026-08-17,13.395,2026-09-07,13.395,12.784999999999998,14.005,1.2200000000000024,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Selar_Kuning_20260914,Selar Kuning,Selangor,VALID,DENSE,NAIVE,2026-08-17,13.395,2026-09-14,13.395,12.784999999999998,14.005,1.2200000000000024,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Siakap_Putih_20260824,Siakap Putih,Selangor,SPARSE_DATA,SPARSE,NAIVE,2026-08-17,20,2026-08-24,20,19.1,20.9,1.7999999999999972,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Siakap_Putih_20260831,Siakap Putih,Selangor,SPARSE_DATA,SPARSE,NAIVE,2026-08-17,20,2026-08-31,20,19.1,20.9,1.7999999999999972,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Siakap_Putih_20260907,Siakap Putih,Selangor,SPARSE_DATA,SPARSE,NAIVE,2026-08-17,20,2026-09-07,20,19.1,20.9,1.7999999999999972,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Siakap_Putih_20260914,Siakap Putih,Selangor,SPARSE_DATA,SPARSE,NAIVE,2026-08-17,20,2026-09-14,20,19.1,20.9,1.7999999999999972,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Tenggiri_20260824,Tenggiri,Selangor,SPARSE_DATA,SPARSE,NAIVE,2026-08-17,49.99,2026-08-24,49.99,47.331,52.649,5.317999999999998,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Tenggiri_20260831,Tenggiri,Selangor,SPARSE_DATA,SPARSE,NAIVE,2026-08-17,49.99,2026-08-31,49.99,47.331,52.649,5.317999999999998,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Tenggiri_20260907,Tenggiri,Selangor,SPARSE_DATA,SPARSE,NAIVE,2026-08-17,49.99,2026-09-07,49.99,47.331,52.649,5.317999999999998,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Tenggiri_20260914,Tenggiri,Selangor,SPARSE_DATA,SPARSE,NAIVE,2026-08-17,49.99,2026-09-14,49.99,47.331,52.649,5.317999999999998,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
